ticket_id,pair_id,compound_key,molecule_chembl_id,canonical_smiles,murcko_scaffold,missing_side,known_side,known_target_label,missing_target_label,known_target_chembl_id,missing_target_chembl_id,recommended_assay_type,recommended_standard_type,recommended_units,known_standard_type,known_standard_relation,known_standard_value_nM,known_activity_chembl_id,known_assay_chembl_id,provenance_note,evidence_status_source,priority_score,priority_reason,expected_benchmark_impact,data_return_schema
V6-0001,LmPTR1,AJICNWHLWLMLAC-UHFFFAOYSA-N,CHEMBL3747216,Cc1nc2ccc(Nc3nc(NCCN4CCOCC4)nc(Nc4ccc(F)cc4)n3)cc2n1Cc1ccccc1,c1ccc(Cn2cnc3ccc(Nc4nc(NCCN5CCOCC5)nc(Nc5ccccc5)n4)cc32)cc1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,2.0,unknown_from_candidate_table,CHEMBL3750438,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""AJICNWHLWLMLAC-UHFFFAOYSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0002,LmPTR1,CKBZPSZPKZSAHS-UEIGIMKUSA-N,CHEMBL4070144,Cl.NC1=NC2(CCCC2)N(OCCCOc2cccc(C(=O)/C=C/c3ccccc3)c2)C(N)=N1,O=C(C=Cc1ccccc1)c1cccc(OCCCON2C=NC=NC23CCCC3)c1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,6.1,unknown_from_candidate_table,CHEMBL4008609,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""CKBZPSZPKZSAHS-UEIGIMKUSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0003,LmPTR1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,c1ccc(NCc2cnc3ncncc3n2)cc1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,9.0,unknown_from_candidate_table,CHEMBL916823,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""FBOZXECLQNJBKD-ZDUSSCGKSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0004,LmPTR1,FBYMIBXOFMRKII-GYVLLFFHSA-N,CHEMBL4098945,CC1(C)N=C(N)N=C(N)N1OCCCCOc1ccc(C(=O)/C=C/c2ccccc2)cc1.Cl,O=C(C=Cc1ccccc1)c1ccc(OCCCCON2C=NC=NC2)cc1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,3.4,unknown_from_candidate_table,CHEMBL4008609,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""FBYMIBXOFMRKII-GYVLLFFHSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0005,LmPTR1,HUELHFCHSLWDBY-IERUDJENSA-N,CHEMBL4101407,CC1(C)N=C(N)N=C(N)N1OCCCCOc1cccc(/C=C/C(=O)c2ccccc2)c1.Cl,O=C(C=Cc1cccc(OCCCCON2C=NC=NC2)c1)c1ccccc1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,4.8,unknown_from_candidate_table,CHEMBL4008609,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""HUELHFCHSLWDBY-IERUDJENSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0006,LmPTR1,IVTVGDXNLFLDRM-HNNXBMFYSA-N,CHEMBL225071,Cc1nc(=O)c2cc(CN(C)c3ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)s3)ccc2[nH]1,O=c1nc[nH]c2ccc(CNc3cccs3)cc12,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,9.0,unknown_from_candidate_table,CHEMBL5215237,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""IVTVGDXNLFLDRM-HNNXBMFYSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0007,LmPTR1,IZYHVTAYLHFZSP-UHFFFAOYSA-N,CHEMBL526243,N#Cc1ccc(Cn2ccc3c4c(N)nc(N)nc4ccc32)cc1,c1ccc(Cn2ccc3c4cncnc4ccc32)cc1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,6.8,unknown_from_candidate_table,CHEMBL4146155,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""IZYHVTAYLHFZSP-UHFFFAOYSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0008,LmPTR1,JCZZFCUAGRVEIS-IERUDJENSA-N,CHEMBL4082453,CC1(C)N=C(N)N=C(N)N1OCCCCOc1cccc(C(=O)/C=C/c2ccccc2)c1.Cl,O=C(C=Cc1ccccc1)c1cccc(OCCCCON2C=NC=NC2)c1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,4.2,unknown_from_candidate_table,CHEMBL4008609,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""JCZZFCUAGRVEIS-IERUDJENSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0009,LmPTR1,JXVZMZJKAKAPFB-UHFFFAOYSA-N,CHEMBL526013,Cc1c(Cc2ccccc2Br)cnc2nc(N)nc(N)c12,c1ccc(Cc2cnc3ncncc3c2)cc1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,7.6,unknown_from_candidate_table,CHEMBL4146155,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""JXVZMZJKAKAPFB-UHFFFAOYSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
V6-0010,LmPTR1,JYPKSMDSADPSKN-UHFFFAOYSA-N,CHEMBL2261434,CCOC(=O)C1=C(C)N=C(SCCC(=O)O)NC1c1ccccc1OC,C1=CC(c2ccccc2)NC=N1,parasite,human,Dihydrofolate reductase (human),Pteridine reductase 1,CHEMBL202,CHEMBL6194,B,IC50,nM,IC50,=,8.9,unknown_from_candidate_table,CHEMBL3056824,known assay provenance present; known activity id unavailable in v5 candidate table,single_side_only,131.0,single-side row can become an exact matched ratio; pair is class-degenerate in the trainable tiered core; pair has zero trainable positives; pair has very few trainable tiered-core rows; missing assay could help repair benchmark imbalance; compound is not represented in the trainable tiered core for this pair; compound has canonical SMILES; scaffold is not represented in the trainable tiered core for this pair; known side has very strong potency; first ticket for this pair/scaffold in the ranked campaign,"Could help close a class-degenerate tiered-core gap for LmPTR1 (positives=0, negatives=1) by measuring the parasite side.","{""activity_chembl_id_or_external_id"":""string"",""assay_chembl_id_or_external_id"":""string"",""assay_type"":""string"",""compound_key"":""JYPKSMDSADPSKN-UHFFFAOYSA-N"",""data_validity_comment"":""string_or_null"",""measured_side"":""parasite"",""notes"":""string"",""pair_id"":""LmPTR1"",""replicate_count"":""integer"",""standard_relation"":""string"",""standard_type"":""string"",""standard_units"":""nM"",""standard_value"":""number"",""target_chembl_id"":""CHEMBL6194""}"
