canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
COc1c(O)ccc2c1ccc1c(Cc3ccc(O)cc3)c(O)cc(OC)c12,CHEMBL181441,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
COc1c(Cc2ccc(O)cc2)c(O)c(Cc2ccc(O)cc2)c2c1-c1ccc(O)cc1CC2,CHEMBL181587,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
COc1cc(O)c2c(c1Cc1ccc(O)cc1)CCc1cc(O)ccc1-2,CHEMBL365485,IC50,nM,300000.0,CHEMBL3186,IC50,uM,300.0,Beta tubulin,Leishmania donovani
COc1cc(O)c(Cc2ccc(O)cc2)c(CCc2cccc(O)c2)c1Cc1ccc(O)cc1,CHEMBL182868,IC50,nM,10000.0,CHEMBL3186,IC50,uM,10.0,Beta tubulin,Leishmania donovani
COc1cc(O)cc(CCc2cccc(O)c2)c1Cc1ccc(O)cc1,CHEMBL182906,IC50,nM,10000.0,CHEMBL3186,IC50,uM,10.0,Beta tubulin,Leishmania donovani
COc1cc(O)c(-c2c(O)cc(OC)c3c2ccc2cc(O)ccc23)c2c1-c1ccc(O)cc1CC2,CHEMBL369741,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
COc1cc(O)c(-c2c(O)cc(OC)c3c2ccc2cc(O)ccc23)c2ccc3cc(O)ccc3c12,CHEMBL359501,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
COc1cc(O)c(-c2c(O)cc3c(c2OC)-c2ccc(O)cc2CC3)c2c1-c1ccc(O)cc1CC2,CHEMBL185178,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1,CHEMBL159,IC50,nM,1000.0,CHEMBL3186,IC50,uM,1.0,Beta tubulin,Leishmania donovani
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL67,IC50,nM,1900.0,CHEMBL3186,IC50,uM,1.9,Beta tubulin,Leishmania donovani
O=C(c1cccs1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL188453,IC50,nM,1600.0,CHEMBL3186,IC50,uM,1.6,Beta tubulin,Leishmania donovani
O=C(c1ccc([N+](=O)[O-])o1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL188420,IC50,nM,40000.0,CHEMBL3186,IC50,uM,40.0,Beta tubulin,Leishmania donovani
O=C(CNc1ccccc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL361893,IC50,nM,3500.0,CHEMBL3186,IC50,uM,3.5,Beta tubulin,Leishmania donovani
O=C(NC1CCCCC1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL191213,IC50,nM,2000.0,CHEMBL3186,IC50,uM,2.0,Beta tubulin,Leishmania donovani
O=C(NCCN1CCOCC1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL363690,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
CCOC(=O)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL188768,IC50,nM,1500.0,CHEMBL3186,IC50,uM,1.5,Beta tubulin,Leishmania donovani
O=C(c1cc(Cl)nc(Cl)c1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL365509,IC50,nM,22000.0,CHEMBL3186,IC50,uM,22.0,Beta tubulin,Leishmania donovani
CN1CCN(CCOC(=O)N2CCc3cc(S(=O)(=O)N4C[C@H](c5ccccc5)NC4=O)ccc32)CC1,CHEMBL364096,IC50,nM,30000.0,CHEMBL3186,IC50,uM,30.0,Beta tubulin,Leishmania donovani
O=C(c1ccco1)N1CCc2cc(S(=O)(=O)N3CC(c4cccs4)NC3=O)ccc21,CHEMBL190702,IC50,nM,4000.0,CHEMBL3186,IC50,uM,4.0,Beta tubulin,Leishmania donovani
Nc1ccc(C(=O)N2CCc3cc(S(=O)(=O)N4CC(c5cccs5)NC4=O)ccc32)cc1,CHEMBL362333,IC50,nM,10500.0,CHEMBL3186,IC50,uM,10.5,Beta tubulin,Leishmania donovani
Nc1ccc(C(=O)N2CCc3cc(S(=O)(=O)N4CC(c5ccc(F)cc5)NC4=O)ccc32)cc1,CHEMBL187716,IC50,nM,25000.0,CHEMBL3186,IC50,uM,25.0,Beta tubulin,Leishmania donovani
CCOC(=O)Nc1ccc(S(=O)(=O)N2C[C@H](c3ccccc3)NC2=O)cc1C,CHEMBL187414,IC50,nM,6000.0,CHEMBL3186,IC50,uM,6.0,Beta tubulin,Leishmania donovani
Nc1ccc(C(=O)Nc2ccc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)cc2Cl)cc1,CHEMBL362529,IC50,nM,5500.0,CHEMBL3186,IC50,uM,5.5,Beta tubulin,Leishmania donovani
O=C(c1ccncc1)N1CCc2cc(S(=O)(=O)N3C[C@H](c4ccccc4)NC3=O)ccc21,CHEMBL361244,IC50,nM,10300.0,CHEMBL3186,IC50,uM,10.3,Beta tubulin,Leishmania donovani
Nc1ccc(C(=O)N2CCc3cc(S(=O)(=O)N4C[C@H](c5ccccc5)NC4=O)ccc32)cc1,CHEMBL186524,IC50,nM,1500.0,CHEMBL3186,IC50,uM,1.5,Beta tubulin,Leishmania donovani
COc1cc(C(=O)c2c(N)sc3ccccc23)cc(OC)c1OC,CHEMBL189355,IC50,nM,3100.0,CHEMBL3186,IC50,uM,3.1,Beta tubulin,Leishmania donovani
COc1cc(C(=O)c2sc3ccccc3c2N)cc(OC)c1OC,CHEMBL371795,IC50,nM,4200.0,CHEMBL3186,IC50,uM,4.2,Beta tubulin,Leishmania donovani
COc1cc(C(=O)c2sc3cc(C)ccc3c2N)cc(OC)c1OC,CHEMBL190320,IC50,nM,1300.0,CHEMBL3186,IC50,uM,1.3,Beta tubulin,Leishmania donovani
COc1ccc(/C=C\c2cc(OC)c(OC)c(OC)c2)cc1O,CHEMBL67,IC50,nM,2000.0,CHEMBL3186,IC50,uM,2.0,Beta tubulin,Leishmania donovani
O=C(N[C@@H](COCc1ccccc1)C(=O)ON1C(=O)CCC1=O)OCc1ccccc1,CHEMBL204200,IC50,nM,23500.0,CHEMBL4751,IC50,uM,23.5,Cysteine protease,Leishmania donovani
CC(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@H](C=O)CCCNC(=N)N,CHEMBL191881,IC50,nM,10.0,CHEMBL4751,IC50,uM,0.01,Cysteine protease,Leishmania donovani
O=C(CSc1nc2ccccc2o1)NCCSCc1ccco1,CHEMBL381970,IC50,nM,43000.0,CHEMBL4751,IC50,uM,43.0,Cysteine protease,Leishmania donovani
O=C(CNC(=O)OCc1ccccc1)N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,CHEMBL426667,IC50,nM,31400.0,CHEMBL4751,IC50,uM,31.4,Cysteine protease,Leishmania donovani
O=C(CS(=O)(=O)c1ccc(Cl)cc1)NCCS(=O)(=O)c1ccccc1,CHEMBL204036,IC50,nM,24900.0,CHEMBL4751,IC50,uM,24.9,Cysteine protease,Leishmania donovani
O=C(O)c1ccccc1N/N=C/c1ccc(/C=N/Nc2ccccc2C(=O)O)cc1,CHEMBL224801,IC50,nM,72000.0,CHEMBL4751,IC50,uM,72.0,Cysteine protease,Leishmania donovani
O=C(Cn1nnc(-c2ccccc2)n1)N/N=C1\C(=O)Nc2ccccc21,CHEMBL224915,IC50,nM,129500.0,CHEMBL4751,IC50,uM,129.5,Cysteine protease,Leishmania donovani
O=C(CN1C(=O)/C(=N\NC(=O)c2ccncc2)c2ccccc21)Nc1ccccc1,CHEMBL426564,IC50,nM,62600.0,CHEMBL4751,IC50,uM,62.6,Cysteine protease,Leishmania donovani
Oc1cccc(/C=N\c2cccc3c(/N=C/c4cccc(O)c4O)cccc23)c1O,CHEMBL222325,IC50,nM,112900.0,CHEMBL4751,IC50,uM,112.9,Cysteine protease,Leishmania donovani
Oc1ccc(/C=N/c2ccc(/N=C/c3ccc(O)cc3O)c(Cl)c2)c(O)c1,CHEMBL222870,IC50,nM,65300.0,CHEMBL4751,IC50,uM,65.3,Cysteine protease,Leishmania donovani
CC(C)CC(=O)N[C@H](C(=O)N[C@H](C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)[C@@H](O)CC(=O)O)C(C)C)C(C)C,CHEMBL296588,IC50,nM,160.0,CHEMBL4751,IC50,uM,0.16,Cysteine protease,Leishmania donovani
CCCCCCCC(O)(P(=O)(O)O)P(=O)(O)O,CHEMBL298547,IC50,nM,19940.0,CHEMBL3693,IC50,uM,19.94,Farnesyl pyrophosphate synthase,Leishmania donovani
CCCCCCCCNC(P(=O)(O)O)P(=O)(O)O,CHEMBL52251,IC50,nM,1060.0,CHEMBL3693,IC50,uM,1.06,Farnesyl pyrophosphate synthase,Leishmania donovani
