molecule_chembl_id,parasite_ic50,human_ic50,selectivity_ratio,parasite_target,human_target,disease,selectivity_class
CHEMBL1232399,620.0,10000.0,16.129032258064516,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL1232702,260.0,800.0,3.076923076923077,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL1650287,139000.0,300000.0,2.158273381294964,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL20466,39.81,134.9,3.3885958301934185,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL20587,20.89,218.78,10.472953566299665,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL20975,223.87,42.66,0.1905570196989324,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL21254,72.44,302.0,4.168967421314191,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL2178599,1110.0,15430.0,13.9009009009009,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL2178600,1360.0,60000.0,44.11764705882353,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL2178602,1210.0,4330.0,3.5785123966942147,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,MODERATE
CHEMBL2178604,600.0,590.0,0.9833333333333333,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL22,120.0,0.006,5e-05,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL26006,1510.0,4400.0,2.9139072847682117,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL281618,3090.3,776.25,0.25118920493156005,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL34259,0.1288,0.00034,0.002639751552795031,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL36,5623.0,8.0,0.0014227280810955006,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL426,30.0,30.0,1.0,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL432942,1790000.0,1040000.0,0.5810055865921788,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
CHEMBL4456834,7.59,490.0,64.55862977602108,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4464707,36.3,1096.0,30.19283746556474,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4544467,7.41,214.0,28.879892037786774,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4553229,501.0,12500.0,24.9500998003992,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4743204,380.0,840.0,2.210526315789474,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,POOR
CHEMBL4745475,100.0,1630.0,16.3,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,SELECTIVE
CHEMBL4748139,210.0,10.0,0.047619047619047616,Bifunctional dihydrofolate reductase-thymidylate synthase,DHFR,Leishmaniasis,COUNTER-SELECTIVE
