organism,pref_name,target_chembl_id,target_type
Leishmania donovani,Beta tubulin,CHEMBL3186,SINGLE PROTEIN
Leishmania donovani,Cysteine protease,CHEMBL4751,SINGLE PROTEIN
Leishmania donovani,Farnesyl pyrophosphate synthase,CHEMBL3693,SINGLE PROTEIN
Leishmania donovani,Ornithine decarboxylase,CHEMBL6192,SINGLE PROTEIN
Leishmania donovani donovani,DNA topoisomerase I,CHEMBL6193,SINGLE PROTEIN
Leishmania donovani,Trypanothione reductase,CHEMBL2176840,SINGLE PROTEIN
Leishmania donovani (strain BPK282A1),"Methionyl-tRNA synthetase, putative",CHEMBL4105741,SINGLE PROTEIN
Leishmania donovani (strain BPK282A1),DNA topoisomerase I,CHEMBL4296305,SINGLE PROTEIN
Leishmania donovani (strain BPK282A1),DNA topoisomerase type IB small subunit,CHEMBL4296319,SINGLE PROTEIN
Leishmania donovani (strain BPK282A1),"Ubiquitin-activating enzyme e1, putative",CHEMBL4662923,SINGLE PROTEIN
Leishmania major,Bifunctional dihydrofolate reductase-thymidylate synthase,CHEMBL4614,SINGLE PROTEIN
Leishmania major,dUTP pyrophosphatase,CHEMBL4418,SINGLE PROTEIN
Leishmania major,"Farnesyltransferase, putative",CHEMBL5223,SINGLE PROTEIN
Leishmania major,Pteridine reductase 1,CHEMBL6194,SINGLE PROTEIN
Leishmania major,"2,3-bisphosphoglycerate-independent phosphoglycerate mutase",CHEMBL1741202,SINGLE PROTEIN
Leishmania major,Glycylpeptide N-tetradecanoyltransferase,CHEMBL1949483,SINGLE PROTEIN
Leishmania major,Farnesyl pyrophosphate synthase,CHEMBL2150832,SINGLE PROTEIN
Leishmania major,DNA topoisomerase type IB small subunit,CHEMBL2150834,SINGLE PROTEIN
Leishmania major,Cdc2-related kinase,CHEMBL2169723,SINGLE PROTEIN
Leishmania major,Class I phosphodiesterase PDEB1,CHEMBL2169733,SINGLE PROTEIN
Leishmania major,Putative glycogen synthase kinase,CHEMBL2311227,SINGLE PROTEIN
Leishmania major,Putative casein kinase I,CHEMBL4295561,SINGLE PROTEIN
Leishmania major,Cathepsin B-like protease,CHEMBL4295583,SINGLE PROTEIN
Leishmania major,Dihydroorotate dehydrogenase (fumarate),CHEMBL4295843,SINGLE PROTEIN
Leishmania infantum,Trypanothione reductase,CHEMBL1944501,SINGLE PROTEIN
Leishmania infantum,Putative silent information regulator 2,CHEMBL2311240,SINGLE PROTEIN
Leishmania infantum,Putative lanosterol 14-alpha-demethylase,CHEMBL4295531,SINGLE PROTEIN
Leishmania infantum,Histidine--tRNA ligase,CHEMBL4662927,SINGLE PROTEIN
Leishmania mexicana,"Glyceraldehyde-3-phosphate dehydrogenase, cytosolic",CHEMBL4137,SINGLE PROTEIN
Leishmania mexicana,Cysteine proteinase B,CHEMBL3821,SINGLE PROTEIN
Leishmania mexicana,"Fructose-1,6-bisphospate aldolase",CHEMBL4509,SINGLE PROTEIN
Leishmania mexicana,Pyruvate kinase,CHEMBL5149,SINGLE PROTEIN
Leishmania mexicana,Glucose transporter,CHEMBL3431938,SINGLE PROTEIN
Leishmania amazonensis,Trypanothione reductase,CHEMBL1944500,SINGLE PROTEIN
Leishmania amazonensis,Arginase,CHEMBL3108635,SINGLE PROTEIN
