exact_core_row_id,pair_id,parasite_label,human_label,compound_key,molecule_chembl_id,canonical_smiles,standard_inchi_key,murcko_scaffold,selectivity_ratio_human_div_parasite,log10_selectivity_ratio,is_selective,selectivity_threshold,label_status,is_trainable_exact_core,exact_evidence_count,ratio_min_human_div_parasite,ratio_median_human_div_parasite,ratio_max_human_div_parasite,log10_ratio_min,log10_ratio_median,log10_ratio_max,n_unique_ratio_values,n_positive_exact_observations,n_negative_exact_observations,parasite_standard_types,human_standard_types,parasite_assay_types,human_assay_types,parasite_activity_chembl_ids,human_activity_chembl_ids,parasite_assay_chembl_ids,human_assay_chembl_ids,parasite_document_chembl_ids,human_document_chembl_ids,n_parasite_documents,n_human_documents
LmDHFR::DYSYUHAHEWMCMM-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),DYSYUHAHEWMCMM-UHFFFAOYSA-N,CHEMBL5759188,Nc1ncc(N2CCN(c3cccc(-c4cnc(N5CCC5)nc4)c3)CC2)c(N)n1,DYSYUHAHEWMCMM-UHFFFAOYSA-N,c1cc(-c2cnc(N3CCC3)nc2)cc(N2CCN(c3cncnc3)CC2)c1,39.86105061938887,1.6005487412332606,1,10.0,exact_core_consistent,1,2,33.15972222222222,39.86105061938887,47.916666666666664,1.5206108838245156,1.6005487412332606,1.6804865986420057,2,2,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::FBOZXECLQNJBKD-ZDUSSCGKSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),FBOZXECLQNJBKD-ZDUSSCGKSA-N,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,c1ccc(NCc2cnc3ncncc3n2)cc1,8.733624454148472,0.9411945133240932,0,10.0,exact_core_conflicting,0,44,0.4366812227074236,8.733624454148472,38.42794759825328,-0.359835482339888,0.9411945133240932,1.5846471898102807,25,10,34,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL1034981;CHEMBL1062969;CHEMBL1073056;CHEMBL1113554;CHEMBL1115358;CHEMBL1819662;CHEMBL2050302;CHEMBL2384165;CHEMBL2388428;CHEMBL3226184;CHEMBL3231540;CHEMBL3750438;CHEMBL3755622;CHEMBL3788092;CHEMBL3878855;CHEMBL4005826;CHEMBL4007201;CHEMBL4008609;CHEMBL4146167;CHEMBL4224051;CHEMBL4360404;CHEMBL4624219;CHEMBL4624220;CHEMBL4625702;CHEMBL5110649;CHEMBL5259435;CHEMBL5738778;CHEMBL668274;CHEMBL668441;CHEMBL829464;CHEMBL867007;CHEMBL888665;CHEMBL889604;CHEMBL914524;CHEMBL916823;CHEMBL918699;CHEMBL926353;CHEMBL944098;CHEMBL957672;CHEMBL983757,CHEMBL5729483,CHEMBL1129539;CHEMBL1134503;CHEMBL1139472;CHEMBL1140135;CHEMBL1140703;CHEMBL1140748;CHEMBL1141150;CHEMBL1145401;CHEMBL1145424;CHEMBL1149301;CHEMBL1149313;CHEMBL1149399;CHEMBL1151945;CHEMBL1153868;CHEMBL1155823;CHEMBL1156232;CHEMBL1156263;CHEMBL1159120;CHEMBL1817595;CHEMBL2046359;CHEMBL2380288;CHEMBL2385040;CHEMBL3217611;CHEMBL3227969;CHEMBL3745645;CHEMBL3751663;CHEMBL3784942;CHEMBL3877300;CHEMBL4004829;CHEMBL4004880;CHEMBL4007411;CHEMBL4145451;CHEMBL4219247;CHEMBL4359818;CHEMBL4622881;CHEMBL4622964;CHEMBL5108025;CHEMBL5257091;CHEMBL5729483,1,39
LmDHFR::HRMBCMDDIJSWHA-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),HRMBCMDDIJSWHA-UHFFFAOYSA-N,CHEMBL6054471,Nc1ncc(N2CCN(c3cnc4ccccc4c3)CC2)c(N)n1,HRMBCMDDIJSWHA-UHFFFAOYSA-N,c1ccc2ncc(N3CCN(c4cncnc4)CC3)cc2c1,34.67741935483871,1.5400467704173515,1,10.0,exact_core_consistent,1,1,34.677419354838705,34.67741935483871,34.677419354838705,1.5400467704173515,1.5400467704173515,1.5400467704173515,1,1,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::IEDVJHCEMCRBQM-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),IEDVJHCEMCRBQM-UHFFFAOYSA-N,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IEDVJHCEMCRBQM-UHFFFAOYSA-N,c1ccc(Cc2cncnc2)cc1,2.7287282536399564,0.4359602876592749,0,10.0,exact_core_consistent,1,2,1.5707317073170732,2.7287282536399564,4.740439024390244,0.19610201064007662,0.4359602876592749,0.6758185646784732,2,0,2,IC50,IC50,B,B,,,CHEMBL4734505,CHEMBL2384165;CHEMBL5736252,CHEMBL4732097,CHEMBL2380288;CHEMBL5728187,1,2
LmDHFR::IPZOXRSTVKZPHN-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),IPZOXRSTVKZPHN-UHFFFAOYSA-N,CHEMBL4553229,Nc1ncc(N2CCN(c3ccccc3)CC2)c(N)n1,IPZOXRSTVKZPHN-UHFFFAOYSA-N,c1ccc(N2CCN(c3cncnc3)CC2)cc1,25.127744510978044,1.4001535076774387,1,10.0,exact_core_consistent,1,5,25.127744510978044,25.127744510978044,25.127744510978044,1.4001535076774387,1.4001535076774387,1.4001535076774387,1,5,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::JFIWMIVDCNPRTN-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),JFIWMIVDCNPRTN-UHFFFAOYSA-N,CHEMBL5786336,Nc1ncc(N2CCN(c3cccc(C4CCOCC4)c3)CC2)c(N)n1,JFIWMIVDCNPRTN-UHFFFAOYSA-N,c1cc(C2CCOCC2)cc(N2CCN(c3cncnc3)CC2)c1,977.5818639798488,2.9901531359769,1,10.0,exact_core_consistent,1,3,776.5743073047859,977.5818639798488,977.5818639798488,2.8901830179633934,2.9901531359769,2.9901531359769,2,3,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::OARVXBUGNHJOSK-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),OARVXBUGNHJOSK-UHFFFAOYSA-N,CHEMBL5820611,Nc1ncc(N2CCN(c3cccc(-c4cccnn4)c3)CC2)c(N)n1,OARVXBUGNHJOSK-UHFFFAOYSA-N,c1cc(-c2cccnn2)cc(N2CCN(c3cncnc3)CC2)c1,30.190476190476186,1.4798699631478134,1,10.0,exact_core_consistent,1,1,30.19047619047619,30.190476190476186,30.19047619047619,1.4798699631478134,1.4798699631478134,1.4798699631478134,1,1,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::OIONZGABSWNRKM-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),OIONZGABSWNRKM-UHFFFAOYSA-N,CHEMBL5776717,Nc1ncc(N2CCN(c3cccc(-c4ccnc(F)c4)c3)CC2)c(N)n1,OIONZGABSWNRKM-UHFFFAOYSA-N,c1cc(-c2ccncc2)cc(N2CCN(c3cncnc3)CC2)c1,26.885245901639344,1.4295140130369308,1,10.0,exact_core_consistent,1,1,26.885245901639344,26.885245901639344,26.885245901639344,1.4295140130369308,1.4295140130369308,1.4295140130369308,1,1,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::UNGXAKLKRHIMSF-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),UNGXAKLKRHIMSF-UHFFFAOYSA-N,CHEMBL4464707,Nc1ncc(N2CCN(c3cccc(-c4ccnnc4)c3)CC2)c(N)n1,UNGXAKLKRHIMSF-UHFFFAOYSA-N,c1cc(-c2ccnnc2)cc(N2CCN(c3cncnc3)CC2)c1,36.3089161703964,1.5600132853149478,1,10.0,exact_core_consistent,1,2,30.19283746556474,36.3089161703964,43.663911845730034,1.4799039291122378,1.5600132853149478,1.6401226415176577,2,2,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::WIVLWIBQXXJWKL-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),WIVLWIBQXXJWKL-UHFFFAOYSA-N,CHEMBL4456834,Nc1ncc(N2CCN(c3ccc(Cl)cc3)CC2)c(N)n1,WIVLWIBQXXJWKL-UHFFFAOYSA-N,c1ccc(N2CCN(c3cncnc3)CC2)cc1,64.55862977602108,1.8099543041330333,1,10.0,exact_core_consistent,1,3,64.55862977602108,64.55862977602108,144.40052700922266,1.8099543041330333,1.8099543041330333,2.15956877825287,2,3,0,IC50,IC50,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
