tiered_core_row_id,pair_id,parasite_label,human_label,compound_key,molecule_chembl_id,canonical_smiles,standard_inchi_key,murcko_scaffold,tiered_label,is_selective,selectivity_threshold,label_status,is_trainable_tiered_core,tiered_evidence_count,exact_evidence_count,bounded_evidence_count,n_positive_tiered_observations,n_negative_tiered_observations,selectivity_ratio_human_div_parasite,log10_selectivity_ratio,ratio_exact_min_human_div_parasite,ratio_exact_median_human_div_parasite,ratio_exact_max_human_div_parasite,ratio_lower_bound_min_human_div_parasite,ratio_lower_bound_max_human_div_parasite,ratio_upper_bound_min_human_div_parasite,ratio_upper_bound_max_human_div_parasite,candidate_row_ids,evidence_statuses,comparison_tiers,tiered_evidence_reasons,parasite_standard_types,human_standard_types,parasite_standard_relations,human_standard_relations,parasite_measurement_interval_kinds,human_measurement_interval_kinds,parasite_assay_types,human_assay_types,parasite_activity_chembl_ids,human_activity_chembl_ids,parasite_assay_chembl_ids,human_assay_chembl_ids,parasite_document_chembl_ids,human_document_chembl_ids,n_parasite_documents,n_human_documents
LmDHFR::DYSYUHAHEWMCMM-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),DYSYUHAHEWMCMM-UHFFFAOYSA-N,CHEMBL5759188,Nc1ncc(N2CCN(c3cccc(-c4cnc(N5CCC5)nc4)c3)CC2)c(N)n1,DYSYUHAHEWMCMM-UHFFFAOYSA-N,c1cc(-c2cnc(N3CCC3)nc2)cc(N2CCN(c3cncnc3)CC2)c1,positive,1.0,10.0,tiered_core_consistent,1,2,2,0,2,0,39.86105061938887,1.6005487412332606,33.15972222222222,39.86105061938887,47.916666666666664,33.15972222222222,47.916666666666664,33.15972222222222,47.916666666666664,LmDHFR::CHEMBL5759188::744;LmDHFR::CHEMBL5759188::745,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::FBOZXECLQNJBKD-ZDUSSCGKSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),FBOZXECLQNJBKD-ZDUSSCGKSA-N,CHEMBL34259,CN(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,FBOZXECLQNJBKD-ZDUSSCGKSA-N,c1ccc(NCc2cnc3ncncc3n2)cc1,conflicting,,10.0,tiered_core_conflicting,0,44,44,0,10,34,8.733624454148472,0.9411945133240932,0.4366812227074236,8.733624454148472,38.42794759825328,0.4366812227074236,38.42794759825328,0.4366812227074236,38.42794759825328,LmDHFR::CHEMBL34259::283;LmDHFR::CHEMBL34259::284;LmDHFR::CHEMBL34259::285;LmDHFR::CHEMBL34259::286;LmDHFR::CHEMBL34259::287;LmDHFR::CHEMBL34259::288;LmDHFR::CHEMBL34259::289;LmDHFR::CHEMBL34259::290;LmDHFR::CHEMBL34259::291;LmDHFR::CHEMBL34259::292;LmDHFR::CHEMBL34259::293;LmDHFR::CHEMBL34259::294;LmDHFR::CHEMBL34259::295;LmDHFR::CHEMBL34259::296;LmDHFR::CHEMBL34259::297;LmDHFR::CHEMBL34259::298;LmDHFR::CHEMBL34259::299;LmDHFR::CHEMBL34259::300;LmDHFR::CHEMBL34259::301;LmDHFR::CHEMBL34259::302;LmDHFR::CHEMBL34259::303;LmDHFR::CHEMBL34259::304;LmDHFR::CHEMBL34259::305;LmDHFR::CHEMBL34259::306;LmDHFR::CHEMBL34259::307;LmDHFR::CHEMBL34259::308;LmDHFR::CHEMBL34259::309;LmDHFR::CHEMBL34259::310;LmDHFR::CHEMBL34259::311;LmDHFR::CHEMBL34259::312;LmDHFR::CHEMBL34259::313;LmDHFR::CHEMBL34259::314;LmDHFR::CHEMBL34259::315;LmDHFR::CHEMBL34259::316;LmDHFR::CHEMBL34259::317;LmDHFR::CHEMBL34259::318;LmDHFR::CHEMBL34259::319;LmDHFR::CHEMBL34259::320;LmDHFR::CHEMBL34259::321;LmDHFR::CHEMBL34259::322;LmDHFR::CHEMBL34259::323;LmDHFR::CHEMBL34259::324;LmDHFR::CHEMBL34259::325;LmDHFR::CHEMBL34259::326,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold;exact_matched_ratio_below_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL1034981;CHEMBL1062969;CHEMBL1073056;CHEMBL1113554;CHEMBL1115358;CHEMBL1819662;CHEMBL2050302;CHEMBL2384165;CHEMBL2388428;CHEMBL3226184;CHEMBL3231540;CHEMBL3750438;CHEMBL3755622;CHEMBL3788092;CHEMBL3878855;CHEMBL4005826;CHEMBL4007201;CHEMBL4008609;CHEMBL4146167;CHEMBL4224051;CHEMBL4360404;CHEMBL4624219;CHEMBL4624220;CHEMBL4625702;CHEMBL5110649;CHEMBL5259435;CHEMBL5738778;CHEMBL668274;CHEMBL668441;CHEMBL829464;CHEMBL867007;CHEMBL888665;CHEMBL889604;CHEMBL914524;CHEMBL916823;CHEMBL918699;CHEMBL926353;CHEMBL944098;CHEMBL957672;CHEMBL983757,CHEMBL5729483,CHEMBL1129539;CHEMBL1134503;CHEMBL1139472;CHEMBL1140135;CHEMBL1140703;CHEMBL1140748;CHEMBL1141150;CHEMBL1145401;CHEMBL1145424;CHEMBL1149301;CHEMBL1149313;CHEMBL1149399;CHEMBL1151945;CHEMBL1153868;CHEMBL1155823;CHEMBL1156232;CHEMBL1156263;CHEMBL1159120;CHEMBL1817595;CHEMBL2046359;CHEMBL2380288;CHEMBL2385040;CHEMBL3217611;CHEMBL3227969;CHEMBL3745645;CHEMBL3751663;CHEMBL3784942;CHEMBL3877300;CHEMBL4004829;CHEMBL4004880;CHEMBL4007411;CHEMBL4145451;CHEMBL4219247;CHEMBL4359818;CHEMBL4622881;CHEMBL4622964;CHEMBL5108025;CHEMBL5257091;CHEMBL5729483,1,39
LmDHFR::HRMBCMDDIJSWHA-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),HRMBCMDDIJSWHA-UHFFFAOYSA-N,CHEMBL6054471,Nc1ncc(N2CCN(c3cnc4ccccc4c3)CC2)c(N)n1,HRMBCMDDIJSWHA-UHFFFAOYSA-N,c1ccc2ncc(N3CCN(c4cncnc4)CC3)cc2c1,positive,1.0,10.0,tiered_core_consistent,1,1,1,0,1,0,34.67741935483871,1.5400467704173515,34.677419354838705,34.67741935483871,34.677419354838705,34.677419354838705,34.677419354838705,34.677419354838705,34.677419354838705,LmDHFR::CHEMBL6054471::841,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::IEDVJHCEMCRBQM-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),IEDVJHCEMCRBQM-UHFFFAOYSA-N,CHEMBL22,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,IEDVJHCEMCRBQM-UHFFFAOYSA-N,c1ccc(Cc2cncnc2)cc1,negative,0.0,10.0,tiered_core_consistent,1,2,2,0,0,2,2.7287282536399564,0.4359602876592749,1.5707317073170732,2.7287282536399564,4.740439024390244,1.5707317073170732,4.740439024390244,1.5707317073170732,4.740439024390244,LmDHFR::CHEMBL22::129;LmDHFR::CHEMBL22::130,exact_matched_ratio,strict,exact_matched_ratio_below_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL4734505,CHEMBL2384165;CHEMBL5736252,CHEMBL4732097,CHEMBL2380288;CHEMBL5728187,1,2
LmDHFR::IPZOXRSTVKZPHN-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),IPZOXRSTVKZPHN-UHFFFAOYSA-N,CHEMBL4553229,Nc1ncc(N2CCN(c3ccccc3)CC2)c(N)n1,IPZOXRSTVKZPHN-UHFFFAOYSA-N,c1ccc(N2CCN(c3cncnc3)CC2)cc1,positive,1.0,10.0,tiered_core_consistent,1,5,5,0,5,0,25.127744510978044,1.4001535076774387,25.127744510978044,25.127744510978044,25.127744510978044,25.127744510978044,25.127744510978044,25.127744510978044,25.127744510978044,LmDHFR::CHEMBL4553229::540;LmDHFR::CHEMBL4553229::541;LmDHFR::CHEMBL4553229::542;LmDHFR::CHEMBL4553229::543;LmDHFR::CHEMBL4553229::544,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::JFIWMIVDCNPRTN-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),JFIWMIVDCNPRTN-UHFFFAOYSA-N,CHEMBL5786336,Nc1ncc(N2CCN(c3cccc(C4CCOCC4)c3)CC2)c(N)n1,JFIWMIVDCNPRTN-UHFFFAOYSA-N,c1cc(C2CCOCC2)cc(N2CCN(c3cncnc3)CC2)c1,positive,1.0,10.0,tiered_core_consistent,1,3,3,0,3,0,977.5818639798488,2.9901531359769,776.5743073047859,977.5818639798488,977.5818639798488,776.5743073047859,977.5818639798488,776.5743073047859,977.5818639798488,LmDHFR::CHEMBL5786336::760;LmDHFR::CHEMBL5786336::761;LmDHFR::CHEMBL5786336::762,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::OARVXBUGNHJOSK-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),OARVXBUGNHJOSK-UHFFFAOYSA-N,CHEMBL5820611,Nc1ncc(N2CCN(c3cccc(-c4cccnn4)c3)CC2)c(N)n1,OARVXBUGNHJOSK-UHFFFAOYSA-N,c1cc(-c2cccnn2)cc(N2CCN(c3cncnc3)CC2)c1,positive,1.0,10.0,tiered_core_consistent,1,1,1,0,1,0,30.190476190476186,1.4798699631478134,30.19047619047619,30.190476190476186,30.19047619047619,30.19047619047619,30.19047619047619,30.19047619047619,30.19047619047619,LmDHFR::CHEMBL5820611::776,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::OIONZGABSWNRKM-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),OIONZGABSWNRKM-UHFFFAOYSA-N,CHEMBL5776717,Nc1ncc(N2CCN(c3cccc(-c4ccnc(F)c4)c3)CC2)c(N)n1,OIONZGABSWNRKM-UHFFFAOYSA-N,c1cc(-c2ccncc2)cc(N2CCN(c3cncnc3)CC2)c1,positive,1.0,10.0,tiered_core_consistent,1,1,1,0,1,0,26.885245901639344,1.4295140130369308,26.885245901639344,26.885245901639344,26.885245901639344,26.885245901639344,26.885245901639344,26.885245901639344,26.885245901639344,LmDHFR::CHEMBL5776717::753,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::UNGXAKLKRHIMSF-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),UNGXAKLKRHIMSF-UHFFFAOYSA-N,CHEMBL4464707,Nc1ncc(N2CCN(c3cccc(-c4ccnnc4)c3)CC2)c(N)n1,UNGXAKLKRHIMSF-UHFFFAOYSA-N,c1cc(-c2ccnnc2)cc(N2CCN(c3cncnc3)CC2)c1,positive,1.0,10.0,tiered_core_consistent,1,2,2,0,2,0,36.3089161703964,1.5600132853149478,30.19283746556474,36.3089161703964,43.663911845730034,30.19283746556474,43.663911845730034,30.19283746556474,43.663911845730034,LmDHFR::CHEMBL4464707::513;LmDHFR::CHEMBL4464707::514,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
LmDHFR::WIVLWIBQXXJWKL-UHFFFAOYSA-N,LmDHFR,Bifunctional dihydrofolate reductase-thymidylate synthase,Dihydrofolate reductase (human),WIVLWIBQXXJWKL-UHFFFAOYSA-N,CHEMBL4456834,Nc1ncc(N2CCN(c3ccc(Cl)cc3)CC2)c(N)n1,WIVLWIBQXXJWKL-UHFFFAOYSA-N,c1ccc(N2CCN(c3cncnc3)CC2)cc1,positive,1.0,10.0,tiered_core_consistent,1,3,3,0,3,0,64.55862977602108,1.8099543041330333,64.55862977602108,64.55862977602108,144.40052700922266,64.55862977602108,144.40052700922266,64.55862977602108,144.40052700922266,LmDHFR::CHEMBL4456834::509;LmDHFR::CHEMBL4456834::510;LmDHFR::CHEMBL4456834::511,exact_matched_ratio,strict,exact_matched_ratio_at_or_above_threshold,IC50,IC50,=,=,exact,exact,B,B,,,CHEMBL5738782,CHEMBL5738778,CHEMBL5729483,CHEMBL5729483,1,1
