molecule_chembl_id,label,source,best_value,best_target,score_potency,score_target,score_confidence,score_drug_stage,score_multitarget,score_similarity,score_whole_org,composite_score,best_selectivity_ratio,selectivity_class,sel_multiplier,adjusted_score,admet_mult,final_score,MW,LogP,TPSA,lipinski_violations,QED,pref_name,max_phase,first_approval,on_who_eml,eml_section,route,cost_tier,africa_availability,supply_chain_score,supply_chain_notes,deployment_score
CHEMBL155771,active,chembl,23.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.728,0.8,0.2,0.1,0.3,1.0,0.0,0.4869,30.82608695652174,SELECTIVE,1.1,0.53559,1.0,0.53559,244.3,3.31,54.4,0.0,0.887,,,,False,,,not_applicable,not_available,0.0,,0.5356
CHEMBL4855490,active,chembl,100.0,Histone deacetylase 8,0.6,0.85,0.2,0.1,0.3,1.0,0.0,0.4625,11.0,SELECTIVE,1.1,0.50875,1.0,0.50875,396.8,4.39,87.7,0.0,0.441,,,,False,,,not_applicable,not_available,0.0,,0.5088
CHEMBL4452960,active,chembl,78.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.622,0.8,0.2,0.1,0.3,1.0,0.0,0.4604,10.35897435897436,SELECTIVE,1.1,0.50644,1.0,0.50644,299.7,3.6,66.4,0.0,0.889,,,,False,,,not_applicable,not_available,0.0,,0.5064
CHEMBL4474026,active,chembl,227.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.529,0.8,0.2,0.1,0.3,1.0,0.0,0.4372,20.26431718061674,SELECTIVE,1.1,0.48092,1.0,0.48092,368.8,3.31,60.9,0.0,0.881,,,,False,,,not_applicable,not_available,0.0,,0.4809
CHEMBL3322287,active,chembl,10.0,Thioredoxin glutathione reductase,0.8,1.0,0.2,0.1,0.3,1.0,0.0,0.535,,,0.8,0.428,1.0,0.428,357.3,-1.01,136.7,0.0,0.684,,,,False,,,not_applicable,not_available,0.0,,0.428
CHEMBL15193,active,chembl,19.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.744,0.8,0.2,0.1,0.3,1.0,0.0,0.4911,5.2631578947368425,MODERATE,0.85,0.417435,1.0,0.417435,242.3,3.23,54.4,0.0,0.81,LAPACHOL,,,False,,oral,not_applicable,not_available,0.1,Natural product from Tabebuia trees. Not approved as drug. Investigated for anticancer and antiparasitic activity.,0.4174
CHEMBL4540838,active,chembl,19.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.744,0.8,0.2,0.1,0.3,1.0,0.0,0.4911,6.473684210526316,MODERATE,0.85,0.417435,1.0,0.417435,334.2,4.25,66.4,0.0,0.861,,,,False,,,not_applicable,not_available,0.0,,0.4174
CHEMBL570345,active,chembl,40.0,Thioredoxin glutathione reductase,0.68,1.0,0.2,0.1,0.3,1.0,0.0,0.5049,,,0.8,0.40392,1.0,0.40392,306.3,1.89,87.1,0.0,0.542,,,,False,,,not_applicable,not_available,0.0,,0.4039
CHEMBL3797442,active,chembl,120.23,Histone deacetylase 8,0.584,0.85,0.5,0.1,0.3,1.0,0.0,0.4735,4.5604258504532975,MODERATE,0.85,0.4024749999999999,1.0,0.4024749999999999,355.2,3.37,87.7,0.0,0.58,,,,False,,,not_applicable,not_available,0.0,,0.4025
CHEMBL1439384,active,chembl,60.0,Thioredoxin glutathione reductase,0.644,1.0,0.2,0.1,0.3,1.0,0.0,0.4961,,,0.8,0.39688,1.0,0.39688,328.7,2.48,99.4,0.0,0.631,,,,False,,,not_applicable,not_available,0.0,,0.3969
CHEMBL576265,active,chembl,63.0,Thioredoxin glutathione reductase,0.64,1.0,0.2,0.1,0.3,1.0,0.0,0.495,,,0.8,0.396,1.0,0.396,221.2,0.47,93.8,0.0,0.542,,,,False,,,not_applicable,not_available,0.0,,0.396
CHEMBL3797232,active,chembl,190.55,Histone deacetylase 8,0.544,0.85,0.5,0.1,0.3,1.0,0.0,0.4635,6.213592233009709,MODERATE,0.85,0.393975,1.0,0.393975,359.6,4.02,78.4,0.0,0.572,,,,False,,,not_applicable,not_available,0.0,,0.394
CHEMBL1325877,active,chembl,100.0,Thioredoxin glutathione reductase,0.6,1.0,0.2,0.1,0.3,1.0,0.0,0.485,,,0.8,0.388,1.0,0.388,354.3,1.79,105.6,0.0,0.491,,,,False,,,not_applicable,not_available,0.0,,0.388
CHEMBL567637,active,chembl,110.0,Thioredoxin glutathione reductase,0.592,1.0,0.2,0.1,0.3,1.0,0.0,0.4829,,,0.8,0.38632,1.0,0.38632,190.2,0.79,70.0,0.0,0.518,,,,False,,,not_applicable,not_available,0.0,,0.3863
CHEMBL4870946,active,chembl,160.0,Histone deacetylase 8,0.559,0.85,0.2,0.1,0.3,1.0,0.0,0.4523,3.6875,MODERATE,0.85,0.384455,1.0,0.384455,342.4,2.66,104.7,0.0,0.425,,,,False,,,not_applicable,not_available,0.0,,0.3845
CHEMBL4846043,active,chembl,140.0,Thioredoxin glutathione reductase,0.571,1.0,0.2,0.1,0.3,1.0,0.0,0.4777,,,0.8,0.38216,1.0,0.38216,460.3,3.26,91.3,0.0,0.495,,,,False,,,not_applicable,not_available,0.0,,0.3822
CHEMBL4457147,active,chembl,129.0,"Dihydroorotate dehydrogenase (quinone), mitochondrial",0.578,0.8,0.2,0.1,0.3,1.0,0.0,0.4495,7.062015503875969,MODERATE,0.85,0.382075,1.0,0.382075,299.7,3.6,66.4,0.0,0.889,,,,False,,,not_applicable,not_available,0.0,,0.3821
CHEMBL3322286,active,chembl,148.0,Thioredoxin glutathione reductase,0.566,1.0,0.2,0.1,0.3,1.0,0.0,0.4765,,,0.8,0.3812,1.0,0.3812,372.3,-0.32,119.9,0.0,0.523,,,,False,,,not_applicable,not_available,0.0,,0.3812
CHEMBL1428415,active,chembl,210.0,Thioredoxin glutathione reductase,0.536,1.0,0.2,0.1,0.3,1.0,0.0,0.4689,,,0.8,0.37512,1.0,0.37512,495.0,3.0,126.4,0.0,0.5,,,,False,,,not_applicable,not_available,0.0,,0.3751
