assay_type,canonical_smiles,molecule_chembl_id,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,target_name,target_organism
B,CC(=O)NC(C(=O)Nc1ccc(N)nc1)C(C)(C)SN=O,CHEMBL27352,Ki,nM,404000.0,CHEMBL2601,Ki,uM,404.0,Adenosine transporter 1,Trypanosoma brucei
B,CC(=O)NC(C(=O)NC[C@H]1OC(n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)C(C)(C)SN=O,CHEMBL605462,Ki,nM,3470.0,CHEMBL2601,Ki,uM,3.47,Adenosine transporter 1,Trypanosoma brucei
B,CC(=O)NC(C(=O)NCCn1cnc2c(N)ncnc21)C(C)(C)SN=O,CHEMBL287449,Ki,nM,620.0,CHEMBL2601,Ki,uM,0.62,Adenosine transporter 1,Trypanosoma brucei
B,Nc1nc(N)c2c(no[n+]2[O-])n1,CHEMBL26029,Ki,nM,117000.0,CHEMBL2601,Ki,uM,117.0,Adenosine transporter 1,Trypanosoma brucei
B,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO[N+](=O)[O-])[C@@H](O)[C@H]1O,CHEMBL2205239,Ki,nM,12300.0,CHEMBL2601,Ki,uM,12.3,Adenosine transporter 1,Trypanosoma brucei
B,NCCS[As](SCCN)c1ccc(Nc2nc(N)nc(N)n2)cc1,CHEMBL1650564,Ki,nM,22900.0,CHEMBL2601,Ki,uM,22.9,Adenosine transporter 1,Trypanosoma brucei
B,Nc1nc(N)nc(Nc2ccc(CCO[N+](=O)[O-])cc2)n1,CHEMBL29507,Ki,nM,200.0,CHEMBL2601,Ki,uM,0.2,Adenosine transporter 1,Trypanosoma brucei
B,CC(=O)NC(C(=O)Nc1ccc(Nc2nc(N)nc(N)n2)cc1)C(C)(C)SN=O,CHEMBL27357,Ki,nM,580.0,CHEMBL2601,Ki,uM,0.58,Adenosine transporter 1,Trypanosoma brucei
B,Nc1ncnc2c1ncn2CCO[N+](=O)[O-],CHEMBL26220,Ki,nM,1900.0,CHEMBL2601,Ki,uM,1.9,Adenosine transporter 1,Trypanosoma brucei
B,Cl.Nc1nc(N)nc(NCCCNCCCCCCCCCCCCNCCCNc2nc(N)nc(N)n2)n1,CHEMBL553117,Ki,nM,500.0,CHEMBL2601,Ki,uM,0.5,Adenosine transporter 1,Trypanosoma brucei
B,CN(C)c1nc(NCCCNCCCCCCCCCCCCNCCCNc2nc(N(C)C)nc(N(C)C)n2)nc(N(C)C)n1.Cl,CHEMBL544335,Ki,nM,2500.0,CHEMBL2601,Ki,uM,2.5,Adenosine transporter 1,Trypanosoma brucei
B,CNc1nc(N)nc(NCCCNCCCCCCCCCNCCCNc2nc(N)nc(NC)n2)n1.Cl,CHEMBL542204,Ki,nM,750.0,CHEMBL2601,Ki,uM,0.75,Adenosine transporter 1,Trypanosoma brucei
B,CN(C)c1nc(NCCCNCCCCCCCCCNCCCNc2nc(N(C)C)nc(N(C)C)n2)nc(N(C)C)n1.Cl,CHEMBL544116,Ki,nM,29000.0,CHEMBL2601,Ki,uM,29.0,Adenosine transporter 1,Trypanosoma brucei
B,Cl.Nc1nc(N)nc(NCCCNC2CCCCC2NCCCNc2nc(N)nc(N)n2)n1,CHEMBL552613,Ki,nM,55000.0,CHEMBL2601,Ki,uM,55.0,Adenosine transporter 1,Trypanosoma brucei
B,CNc1nc(N)nc(NCCCNCCCCCCCCCCCCNCCCN)n1.Cl,CHEMBL542932,Ki,nM,410.0,CHEMBL2601,Ki,uM,0.41,Adenosine transporter 1,Trypanosoma brucei
B,CNc1nc(NC)nc(NCCCNCCCCCCCCCCCCNCCCNc2nc(NC)nc(NC)n2)n1.Cl,CHEMBL542698,Ki,nM,3200.0,CHEMBL2601,Ki,uM,3.2,Adenosine transporter 1,Trypanosoma brucei
