molecule_chembl_id,standard_type,standard_value,target_chembl_id,type,value,parasite_target,human_target_id
CHEMBL252360,IC50,3300.0,CHEMBL3837,IC50,3.3,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL254619,IC50,500.0,CHEMBL3837,IC50,0.5,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL254618,IC50,780.0,CHEMBL3837,IC50,0.78,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400543,IC50,870.0,CHEMBL3837,IC50,0.87,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400542,IC50,800.0,CHEMBL3837,IC50,0.8,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL254617,IC50,420.0,CHEMBL3837,IC50,0.42,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL254412,IC50,300.0,CHEMBL3837,IC50,0.3,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400664,IC50,14860.0,CHEMBL3837,IC50,14.86,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL255038,IC50,1820.0,CHEMBL3837,IC50,1.82,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400663,IC50,300.0,CHEMBL3837,IC50,0.3,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL254827,IC50,9620.0,CHEMBL3837,IC50,9.62,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL398505,IC50,4150.0,CHEMBL3837,IC50,4.15,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL252934,IC50,610.0,CHEMBL3837,IC50,0.61,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL251923,IC50,13550.0,CHEMBL3837,IC50,13.55,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL399027,IC50,6840.0,CHEMBL3837,IC50,6.84,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL252729,IC50,6680.0,CHEMBL3837,IC50,6.68,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL399026,IC50,26920.0,CHEMBL3837,IC50,26.92,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL429121,IC50,10790.0,CHEMBL3837,IC50,10.79,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400097,IC50,2270.0,CHEMBL3837,IC50,2.27,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL255087,IC50,1170.0,CHEMBL3837,IC50,1.17,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL255086,IC50,8050.0,CHEMBL3837,IC50,8.05,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400095,IC50,2280.0,CHEMBL3837,IC50,2.28,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL398708,IC50,17140.0,CHEMBL3837,IC50,17.14,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL253830,IC50,17100.0,CHEMBL3837,IC50,17.1,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL253611,IC50,13550.0,CHEMBL3837,IC50,13.55,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL255080,IC50,5060.0,CHEMBL3837,IC50,5.06,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400454,IC50,12220.0,CHEMBL3837,IC50,12.22,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL255079,IC50,4380.0,CHEMBL3837,IC50,4.38,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL400248,IC50,10520.0,CHEMBL3837,IC50,10.52,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL252363,IC50,3910.0,CHEMBL3837,IC50,3.91,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL252362,IC50,4000.0,CHEMBL3837,IC50,4.0,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL399094,IC50,3790.0,CHEMBL3837,IC50,3.79,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL402052,IC50,2530.0,CHEMBL3837,IC50,2.53,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL252359,IC50,5830.0,CHEMBL3837,IC50,5.83,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL254227,IC50,2380.0,CHEMBL3837,IC50,2.38,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL91704,Ki,80.0,CHEMBL3837,Ki,80.0,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL91704,Ki,80.0,CHEMBL3837,Ki,80.0,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL91704,IC50,0.2,CHEMBL3837,IC50,0.2,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL91704,Ki,10.0,CHEMBL3837,Ki,0.01,Cathepsin B-like cysteine protease,CHEMBL3837
CHEMBL91704,IC50,0.68,CHEMBL3837,IC50,0.68,Cathepsin B-like cysteine protease,CHEMBL3837
